67 80 7 6 94 49 46 88 29 24 11 53 58 35 16 23 43 86 74 10 42 18 89 100 39 51 17 72 50 30 82 14 25 93 64 27 47 12 45 55 3 84 91 87 34 69 40 44 75 52 22 77 95 79 32 57 26 99 60 68 59 96 90 20 63 37 62 4 8 78 56 36 76 28 92 9 13 41 15 70 65 83 97 85 1 71 31 73 2 5 19 48 38 98 66 81 21 61 54 33 
 Pos  Time  Pts   c_marc  c_sofr   avg
  1º:  67   161    8215    7885   1.042
  2º:  80   159    7997    7385   1.083
  3º:   7   159    7898    7598   1.039
  4º:   6   158    7968    7652   1.041
  5º:  94   157    8361    7677   1.089
  6º:  49   157    8155    7722   1.056
  7º:  46   157    8040    7737   1.039
  8º:  88   157    8099    7890   1.026
  9º:  29   156    8191    7816   1.048
 10º:  24   155    8005    7522   1.064
 11º:  11   155    8110    7636   1.062
 12º:  53   155    8249    7837   1.053
 13º:  58   155    7869    7527   1.045
 14º:  35   155    7976    7659   1.041
 15º:  16   155    8075    7774   1.039
 16º:  23   155    7904    7714   1.025
 17º:  43   154    8061    7570   1.065
 18º:  86   154    8110    7817   1.037
 19º:  74   154    7881    7660   1.029
 20º:  10   154    8032    7826   1.026
 21º:  42   153    8127    7757   1.048
 22º:  18   153    7865    7517   1.046
 23º:  89   153    8052    7895   1.020
 24º: 100   153    8015    7943   1.009
 25º:  39   153    8025    7996   1.004
 26º:  51   153    7890    7964   0.991
 27º:  17   151    7840    7761   1.010
 28º:  72   151    7830    7753   1.010
 29º:  50   151    7966    7908   1.007
 30º:  30   151    7922    7921   1.000
 31º:  82   151    7909    7981   0.991
 32º:  14   150    8221    7909   1.039
 33º:  25   150    7754    7488   1.036
 34º:  93   150    7810    7684   1.016
 35º:  64   150    7840    7761   1.010
 36º:  27   150    7908    7892   1.002
 37º:  47   150    7779    7765   1.002
 38º:  12   150    7900    7928   0.996
 39º:  45   150    7790    7819   0.996
 40º:  55   150    7765    7795   0.996
 41º:   3   150    7701    7813   0.986
 42º:  84   150    7805    7938   0.983
 43º:  91   150    7889    8066   0.978
 44º:  87   150    7762    7956   0.976
 45º:  34   150    7578    7806   0.971
 46º:  69   150    7572    7807   0.970
 47º:  40   149    8113    7994   1.015
 48º:  44   149    7911    7968   0.993
 49º:  75   149    7965    8035   0.991
 50º:  52   149    7794    7964   0.979
 51º:  22   148    7929    7729   1.026
 52º:  77   148    8041    7927   1.014
 53º:  95   148    7899    7820   1.010
 54º:  79   148    7702    7632   1.009
 55º:  32   148    7919    7895   1.003
 56º:  57   148    7816    7805   1.001
 57º:  26   148    7886    7891   0.999
 58º:  99   148    7741    7783   0.995
 59º:  60   148    7767    7873   0.987
 60º:  68   147    7982    7781   1.026
 61º:  59   147    7994    7819   1.022
 62º:  96   147    8018    7959   1.007
 63º:  90   147    7416    7772   0.954
 64º:  20   146    8031    7893   1.017
 65º:  63   146    7844    7869   0.997
 66º:  37   146    7570    7606   0.995
 67º:  62   146    7717    7790   0.991
 68º:   4   146    7518    7591   0.990
 69º:   8   146    8001    8127   0.984
 70º:  78   146    7817    7945   0.984
 71º:  56   146    7855    8088   0.971
 72º:  36   146    7804    8131   0.960
 73º:  76   145    7791    7682   1.014
 74º:  28   145    7825    7777   1.006
 75º:  92   145    7742    7775   0.996
 76º:   9   145    7930    8047   0.985
 77º:  13   145    7595    7962   0.954
 78º:  41   144    7922    7915   1.001
 79º:  15   144    7802    7846   0.994
 80º:  70   144    7767    7905   0.983
 81º:  65   144    7680    7884   0.974
 82º:  83   144    7642    7948   0.961
 83º:  97   143    7700    7924   0.972
 84º:  85   143    7420    7698   0.964
 85º:   1   143    7422    7758   0.957
 86º:  71   142    7814    7742   1.009
 87º:  31   142    7736    7977   0.970
 88º:  73   142    7604    7916   0.961
 89º:   2   142    7645    8008   0.955
 90º:   5   142    7601    8002   0.950
 91º:  19   142    7524    7996   0.941
 92º:  48   141    7573    7977   0.949
 93º:  38   141    7514    7972   0.943
 94º:  98   140    7698    8037   0.958
 95º:  66   139    7874    8095   0.973
 96º:  81   139    7804    8088   0.965
 97º:  21   139    7684    8168   0.941
 98º:  61   139    7608    8101   0.939
 99º:  54   136    7738    8315   0.931
100º:  33   135    7585    8072   0.940
